ADM2_EN_1,cluster,classification
KE027144,19,1
KE035190,19,1
KE029152,19,1
KE041234,24,2
KE044254,19,1
KE032174,24,2
KE007028,23,3
KE009040,23,3
KE030159,23,3
KE030158,21,4
KE030160,19,1
KE035192,19,1
KE045264,19,1
KE045263,19,1
KE045265,23,3
KE036197,23,3
KE036196,23,3
KE045261,21,4
KE041236,21,4
KE046273,21,4
KE040231,23,3
KE039219,23,3
KE004020,21,4
KE035191,18,4
KE037207,21,4
KE040229,11,5
KE012057,21,4
KE012058,22,4
KE001001,11,5
KE036195,21,4
KE026140,21,4
KE029154,23,3
KE007030,21,4
KE047276,21,4
KE007027,21,4
KE030162,11,5
KE008037,11,5
KE047284,21,4
KE047285,22,6
KE047283,21,4
KE047282,22,6
KE047286,22,6
KE029155,22,6
KE038215,22,6
KE033178,11,5
KE026137,17,8
KE007031,11,8
KE040230,17,8
KE014065,11,5
KE004019,11,5
KE003015,18,7
KE004018,18,7
KE021110,11,5
KE022112,15,9
KE022111,15,7
KE041235,2,12
KE020101,2,12
KE032169,2,12
KE022116,2,12
KE038213,15,12
KE043249,2,12
KE012052,15,13
KE012053,2,12
KE012051,15,9
KE007032,15,13
KE037210,15,13
KE011049,18,7
KE011050,15,13
KE001002,18,7
KE022113,15,13
KE022119,15,13
KE043246,15,13
KE039218,18,7
KE024131,21,4
KE017085,15,12
KE034184,15,13
KE034186,15,9
KE034183,15,12
KE034187,15,9
KE034185,20,5
KE003013,15,12
KE047288,15,13
KE021109,15,13
KE039220,15,12
KE021104,15,13
KE016077,15,13
KE024129,18,7
KE027145,18,7
KE043247,1,11
KE047280,6,14
KE043245,1,14
KE016079,6,14
KE028149,1,12
KE028150,2,15
KE027146,2,15
KE037208,2,15
KE022118,2,12
KE022117,10,9
KE047278,3,12
KE017088,14,11
KE017087,2,15
KE019095,15,9
KE021107,2,12
KE021106,2,15
KE022120,2,12
KE033177,15,9
KE003011,10,16
KE003012,15,9
KE047275,10,16
KE017084,10,9
KE039223,10,16
KE026139,10,16
KE002010,10,16
KE018089,15,12
KE018090,20,11
KE035188,10,16
KE035189,4,17
KE020103,4,17
KE001003,4,17
KE042240,4,11
KE042238,10,16
KE042239,2,15
KE015072,17,8
KE015073,11,5
KE015071,16,8
KE015074,17,8
KE015070,16,8
KE045268,17,8
KE045269,18,7
KE046270,22,7
KE036198,18,7
KE032171,1,7
KE032170,18,7
KE044260,11,5
KE044259,21,4
KE026136,3,18
KE009044,2,15
KE007029,3,12
KE031164,3,18
KE031165,3,18
KE031163,3,18
KE010048,3,18
KE005021,3,18
KE005022,3,12
KE047277,3,18
KE022122,3,12
KE001005,1,19
KE037200,1,19
KE022121,2,15
KE023126,1,15
KE038214,2,15
KE037199,3,10
KE002008,2,12
KE037202,3,10
KE013061,3,10
KE016081,3,18
KE003017,22,11
KE047287,18,7
KE017086,2,15
KE037201,18,11
KE003016,18,7
KE009043,2,15
KE009041,18,7
KE009042,18,7
KE009039,18,7
KE014063,1,11
KE021108,1,12
KE028147,1,11
KE028148,1,7
KE016075,6,8
KE040228,6,14
KE047290,2,12
KE021105,3,12
KE019096,1,11
KE002009,7,11
KE037206,7,11
KE016078,3,12
KE016080,3,12
KE017083,1,19
KE030161,1,7
KE027143,1,19
KE032166,11,5
KE029156,10,11
KE010045,21,4
KE002007,21,5
KE039216,11,5
KE042243,11,5
KE019098,2,15
KE037205,2,15
KE037204,2,10
KE001006,3,10
KE016082,2,15
KE006025,2,10
KE020100,3,21
KE015069,3,9
KE015067,3,9
KE015068,3,9
KE032168,2,15
KE032176,3,20
KE032175,3,18
KE040227,5,21
KE029153,9,20
KE033180,9,20
KE033179,9,20
KE033181,9,20
KE033182,9,20
KE037203,5,21
KE018093,5,21
KE043250,2,12
KE020102,9,23
KE013060,5,21
KE032167,5,21
KE010046,5,21
KE012056,5,21
KE046272,5,21
KE042244,6,14
KE001004,9,22
KE042242,9,22
KE045267,9,22
KE045266,9,22
KE044258,9,22
KE019099,9,22
KE018092,9,14
KE018091,3,21
KE019097,9,23
KE024132,4,23
KE003014,9,23
KE043248,9,23
KE041237,9,23
KE032173,9,23
KE044253,12,8
KE047279,9,20
KE047281,9,20
KE022115,14,11
KE014064,9,20
KE038212,13,24
KE026138,13,24
KE010047,8,11
KE025135,8,24
KE025134,12,8
KE025133,13,24
KE042241,13,24
KE037209,2,12
KE014066,14,11
KE024130,5,21
KE035193,5,21
KE039217,13,24
KE036194,9,11
KE012059,7,24
KE045262,3,10
KE027141,13,24
KE047289,13,24
KE043251,5,21
KE043252,5,21
KE032172,3,9
KE044255,15,9
KE044256,15,9
KE008035,13,24
KE006023,5,21
KE040225,5,21
KE040226,5,21
KE019094,5,21
KE013062,5,21
KE022114,5,21
KE030157,5,21
KE012055,5,21
KE012054,5,21
KE029151,5,21
KE039224,5,21
KE027142,2,10
KE023125,5,21
KE023128,5,21
KE023123,2,10
KE023127,4,17
KE023124,24,2
KE041232,4,17
KE041233,10,11
KE044257,24,2
KE038211,4,17
KE006026,20,11
KE008034,25,25
KE008033,24,2
KE008038,25,25
KE008036,24,25
KE039221,20,11
KE039222,24,25
KE046271,24,2
KE047274,24,25
KE006024,24,2
KE016076,25,25
