"";"ADM2_EN";"mod1.classification"
"1";"KE027144";1
"2";"KE035190";1
"3";"KE029152";1
"4";"KE041234";2
"5";"KE044254";1
"6";"KE032174";2
"7";"KE007028";3
"8";"KE009040";3
"9";"KE030159";3
"10";"KE030158";4
"11";"KE030160";1
"12";"KE035192";1
"13";"KE045264";1
"14";"KE045263";1
"15";"KE045265";3
"16";"KE036197";3
"17";"KE036196";3
"18";"KE045261";4
"19";"KE041236";4
"20";"KE046273";4
"21";"KE040231";3
"22";"KE039219";3
"23";"KE004020";4
"24";"KE035191";4
"25";"KE037207";4
"26";"KE040229";5
"27";"KE012057";4
"28";"KE012058";4
"29";"KE001001";5
"30";"KE036195";4
"31";"KE026140";4
"32";"KE029154";3
"33";"KE007030";4
"34";"KE047276";4
"35";"KE007027";4
"36";"KE030162";5
"37";"KE008037";5
"38";"KE047284";4
"39";"KE047285";6
"40";"KE047283";3
"41";"KE047282";6
"42";"KE047286";6
"43";"KE029155";6
"44";"KE038215";6
"45";"KE033178";5
"46";"KE026137";7
"47";"KE007031";5
"48";"KE040230";7
"49";"KE014065";5
"50";"KE004019";5
"51";"KE003015";3
"52";"KE004018";3
"53";"KE021110";5
"54";"KE022112";8
"55";"KE022111";3
"56";"KE041235";9
"57";"KE020101";10
"58";"KE032169";10
"59";"KE022116";10
"60";"KE038213";11
"61";"KE043249";11
"62";"KE012052";12
"63";"KE012053";11
"64";"KE012051";11
"65";"KE007032";12
"66";"KE037210";12
"67";"KE011049";3
"68";"KE011050";12
"69";"KE001002";3
"70";"KE022113";12
"71";"KE022119";12
"72";"KE043246";12
"73";"KE039218";3
"74";"KE024131";4
"75";"KE017085";12
"76";"KE034184";8
"77";"KE034186";8
"78";"KE034183";8
"79";"KE034187";8
"80";"KE034185";5
"81";"KE003013";8
"82";"KE047288";8
"83";"KE021109";8
"84";"KE039220";8
"85";"KE021104";8
"86";"KE016077";12
"87";"KE024129";3
"88";"KE027145";3
"89";"KE043247";10
"90";"KE047280";13
"91";"KE043245";13
"92";"KE016079";13
"93";"KE028149";10
"94";"KE028150";11
"95";"KE027146";14
"96";"KE037208";14
"97";"KE022118";11
"98";"KE022117";8
"99";"KE047278";9
"100";"KE017088";7
"101";"KE017087";11
"102";"KE019095";8
"103";"KE021107";11
"104";"KE021106";11
"105";"KE022120";11
"106";"KE033177";8
"107";"KE003011";11
"108";"KE003012";8
"109";"KE047275";11
"110";"KE017084";11
"111";"KE039223";15
"112";"KE026139";15
"113";"KE002010";15
"114";"KE018089";12
"115";"KE018090";5
"116";"KE035188";15
"117";"KE035189";16
"118";"KE020103";16
"119";"KE001003";16
"120";"KE042240";16
"121";"KE042238";15
"122";"KE042239";14
"123";"KE015072";7
"124";"KE015073";7
"125";"KE015071";7
"126";"KE015074";7
"127";"KE015070";7
"128";"KE045268";7
"129";"KE045269";3
"130";"KE046270";3
"131";"KE036198";3
"132";"KE032171";10
"133";"KE032170";3
"134";"KE044260";5
"135";"KE044259";4
"136";"KE026136";17
"137";"KE009044";14
"138";"KE007029";10
"139";"KE031164";17
"140";"KE031165";17
"141";"KE031163";17
"142";"KE010048";17
"143";"KE005021";17
"144";"KE005022";17
"145";"KE047277";17
"146";"KE022122";10
"147";"KE001005";18
"148";"KE037200";18
"149";"KE022121";14
"150";"KE023126";14
"151";"KE038214";14
"152";"KE037199";9
"153";"KE002008";14
"154";"KE037202";9
"155";"KE013061";9
"156";"KE016081";17
"157";"KE003017";6
"158";"KE047287";3
"159";"KE017086";3
"160";"KE037201";3
"161";"KE003016";3
"162";"KE009043";14
"163";"KE009041";10
"164";"KE009042";10
"165";"KE009039";10
"166";"KE014063";10
"167";"KE021108";10
"168";"KE028147";10
"169";"KE028148";10
"170";"KE016075";13
"171";"KE040228";13
"172";"KE047290";14
"173";"KE021105";10
"174";"KE019096";10
"175";"KE002009";10
"176";"KE037206";10
"177";"KE016078";9
"178";"KE016080";9
"179";"KE017083";18
"180";"KE030161";10
"181";"KE027143";18
"182";"KE032166";5
"183";"KE029156";15
"184";"KE010045";4
"185";"KE002007";5
"186";"KE039216";5
"187";"KE042243";5
"188";"KE019098";14
"189";"KE037205";14
"190";"KE037204";9
"191";"KE001006";9
"192";"KE016082";14
"193";"KE006025";9
"194";"KE020100";9
"195";"KE015069";9
"196";"KE015067";9
"197";"KE015068";9
"198";"KE032168";14
"199";"KE032176";9
"200";"KE032175";17
"201";"KE040227";19
"202";"KE029153";19
"203";"KE033180";19
"204";"KE033179";19
"205";"KE033181";19
"206";"KE033182";19
"207";"KE037203";19
"208";"KE018093";19
"209";"KE043250";14
"210";"KE020102";19
"211";"KE013060";20
"212";"KE032167";20
"213";"KE010046";20
"214";"KE012056";20
"215";"KE046272";20
"216";"KE042244";13
"217";"KE001004";21
"218";"KE042242";21
"219";"KE045267";21
"220";"KE045266";21
"221";"KE044258";21
"222";"KE019099";21
"223";"KE018092";13
"224";"KE018091";19
"225";"KE019097";22
"226";"KE024132";22
"227";"KE003014";22
"228";"KE043248";22
"229";"KE041237";22
"230";"KE032173";22
"231";"KE044253";7
"232";"KE047279";19
"233";"KE047281";19
"234";"KE022115";7
"235";"KE014064";19
"236";"KE038212";23
"237";"KE026138";23
"238";"KE010047";7
"239";"KE025135";23
"240";"KE025134";7
"241";"KE025133";23
"242";"KE042241";7
"243";"KE037209";3
"244";"KE014066";7
"245";"KE024130";20
"246";"KE035193";20
"247";"KE039217";23
"248";"KE036194";19
"249";"KE012059";23
"250";"KE045262";9
"251";"KE027141";23
"252";"KE047289";23
"253";"KE043251";20
"254";"KE043252";20
"255";"KE032172";8
"256";"KE044255";8
"257";"KE044256";8
"258";"KE008035";23
"259";"KE006023";20
"260";"KE040225";20
"261";"KE040226";20
"262";"KE019094";20
"263";"KE013062";20
"264";"KE022114";20
"265";"KE030157";20
"266";"KE012055";20
"267";"KE012054";20
"268";"KE029151";20
"269";"KE039224";20
"270";"KE027142";9
"271";"KE023125";20
"272";"KE023128";20
"273";"KE023123";9
"274";"KE023127";16
"275";"KE023124";2
"276";"KE041232";16
"277";"KE041233";15
"278";"KE044257";2
"279";"KE038211";16
"280";"KE006026";5
"281";"KE008034";24
"282";"KE008033";2
"283";"KE008038";24
"284";"KE008036";24
"285";"KE039221";5
"286";"KE039222";24
"287";"KE046271";2
"288";"KE047274";24
"289";"KE006024";2
"290";"KE016076";24
