,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0.85,0.038461538,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0.8125,0,0,0,0,0,0,0,0,0.055555556,0.03125,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0,0
7,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021276596,0,0,0.681818182,0,0,0,0.037037037,0,0,0
8,0,0,0,0,0,0.066666667,0,0,0,0,0.041666667,0.181818182,0,0,0,0.181818182,0.454545455,0,0,0,0,0,0,0,0
9,0,0,0.102564103,0,0,0,0,0,0,0.083333333,0,0,0,0,0.264705882,0,0,0,0,0,0,0,0,0,0
10,0,0.108108108,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.133333333,0,0,0.038461538,0,0,0.1,0.05,0.025,0.071428571,0,0,0,0.157894737,0,0,0,0.028571429,0,0.15,0,0.038461538,0,0,0
12,0.048780488,0.276595745,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0
14,0.05,0,0,0,0,0.571428571,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.033333333,0.454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0.321428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0.027777778,0,0,0,0,0,0.347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0.037735849,0,0.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0.071428571,0,0,0,0,0.260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0.083333333,0.090909091,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,0.5
