,ADM2_PCODE,cluster
1,KE027144,8
2,KE035190,8
3,KE029152,8
4,KE041234,4
5,KE044254,8
6,KE032174,4
7,KE007028,12
8,KE009040,12
9,KE030159,12
10,KE030158,16
11,KE030160,8
12,KE035192,8
13,KE045264,8
14,KE045263,8
15,KE045265,12
16,KE036197,12
17,KE036196,11
18,KE045261,16
19,KE041236,16
20,KE046273,16
21,KE040231,11
22,KE039219,11
23,KE004020,16
24,KE035191,17
25,KE037207,16
26,KE040229,16
27,KE012057,16
28,KE012058,21
29,KE001001,7
30,KE036195,16
31,KE026140,16
32,KE029154,11
33,KE007030,16
34,KE047276,16
35,KE007027,16
36,KE030162,7
37,KE008037,7
38,KE047284,16
39,KE047285,21
40,KE047283,17
41,KE047282,21
42,KE047286,21
43,KE029155,21
44,KE038215,21
45,KE033178,16
46,KE026137,6
47,KE007031,7
48,KE040230,6
49,KE014065,7
50,KE004019,7
51,KE003015,12
52,KE004018,17
53,KE021110,7
54,KE022112,15
55,KE022111,15
56,KE041235,18
57,KE020101,19
58,KE032169,19
59,KE022116,18
60,KE038213,18
61,KE043249,18
62,KE012052,15
63,KE012053,18
64,KE012051,18
65,KE007032,15
66,KE037210,15
67,KE011049,17
68,KE011050,15
69,KE001002,17
70,KE022113,15
71,KE022119,15
72,KE043246,15
73,KE039218,17
74,KE024131,16
75,KE017085,15
76,KE034184,15
77,KE034186,15
78,KE034183,15
79,KE034187,15
80,KE034185,7
81,KE003013,15
82,KE047288,15
83,KE021109,15
84,KE039220,15
85,KE021104,15
86,KE016077,15
87,KE024129,17
88,KE027145,17
89,KE043247,19
90,KE047280,23
91,KE043245,19
92,KE016079,23
93,KE028149,19
94,KE028150,18
95,KE027146,19
96,KE037208,19
97,KE022118,18
98,KE022117,25
99,KE047278,24
100,KE017088,15
101,KE017087,18
102,KE019095,15
103,KE021107,18
104,KE021106,18
105,KE022120,18
106,KE033177,15
107,KE003011,13
108,KE003012,15
109,KE047275,13
110,KE017084,18
111,KE039223,13
112,KE026139,13
113,KE002010,13
114,KE018089,15
115,KE018090,14
116,KE035188,13
117,KE035189,10
118,KE020103,10
119,KE001003,10
120,KE042240,10
121,KE042238,13
122,KE042239,19
123,KE015072,6
124,KE015073,7
125,KE015071,1
126,KE015074,6
127,KE015070,1
128,KE045268,6
129,KE045269,17
130,KE046270,21
131,KE036198,17
132,KE032171,19
133,KE032170,17
134,KE044260,17
135,KE044259,16
136,KE026136,24
137,KE009044,19
138,KE007029,19
139,KE031164,24
140,KE031165,24
141,KE031163,24
142,KE010048,24
143,KE005021,24
144,KE005022,24
145,KE047277,24
146,KE022122,19
147,KE001005,22
148,KE037200,22
149,KE022121,19
150,KE023126,19
151,KE038214,18
152,KE037199,24
153,KE002008,19
154,KE037202,24
155,KE013061,19
156,KE016081,24
157,KE003017,21
158,KE047287,12
159,KE017086,12
160,KE037201,12
161,KE003016,12
162,KE009043,19
163,KE009041,19
164,KE009042,17
165,KE009039,17
166,KE014063,19
167,KE021108,19
168,KE028147,19
169,KE028148,19
170,KE016075,23
171,KE040228,23
172,KE047290,19
173,KE021105,19
174,KE019096,19
175,KE002009,19
176,KE037206,19
177,KE016078,24
178,KE016080,24
179,KE017083,22
180,KE030161,19
181,KE027143,22
182,KE032166,7
183,KE029156,13
184,KE010045,17
185,KE002007,17
186,KE039216,17
187,KE042243,7
188,KE019098,19
189,KE037205,18
190,KE037204,18
191,KE001006,18
192,KE016082,18
193,KE006025,18
194,KE020100,24
195,KE015069,24
196,KE015067,24
197,KE015068,24
198,KE032168,19
199,KE032176,24
200,KE032175,24
201,KE040227,25
202,KE029153,20
203,KE033180,20
204,KE033179,20
205,KE033181,20
206,KE033182,20
207,KE037203,25
208,KE018093,25
209,KE043250,18
210,KE020102,20
211,KE013060,25
212,KE032167,25
213,KE010046,25
214,KE012056,25
215,KE046272,25
216,KE042244,23
217,KE001004,20
218,KE042242,20
219,KE045267,20
220,KE045266,20
221,KE044258,20
222,KE019099,20
223,KE018092,20
224,KE018091,24
225,KE019097,20
226,KE024132,10
227,KE003014,20
228,KE043248,20
229,KE041237,20
230,KE032173,20
231,KE044253,3
232,KE047279,20
233,KE047281,20
234,KE022115,15
235,KE014064,20
236,KE038212,9
237,KE026138,9
238,KE010047,14
239,KE025135,9
240,KE025134,3
241,KE025133,9
242,KE042241,9
243,KE037209,18
244,KE014066,3
245,KE024130,25
246,KE035193,25
247,KE039217,9
248,KE036194,20
249,KE012059,9
250,KE045262,18
251,KE027141,9
252,KE047289,9
253,KE043251,25
254,KE043252,25
255,KE032172,24
256,KE044255,15
257,KE044256,15
258,KE008035,9
259,KE006023,25
260,KE040225,25
261,KE040226,25
262,KE019094,25
263,KE013062,25
264,KE022114,25
265,KE030157,25
266,KE012055,25
267,KE012054,25
268,KE029151,25
269,KE039224,25
270,KE027142,18
271,KE023125,25
272,KE023128,25
273,KE023123,18
274,KE023127,10
275,KE023124,4
276,KE041232,10
277,KE041233,13
278,KE044257,4
279,KE038211,10
280,KE006026,14
281,KE008034,5
282,KE008033,4
283,KE008038,5
284,KE008036,5
285,KE039221,14
286,KE039222,5
287,KE046271,4
288,KE047274,5
289,KE006024,4
290,KE016076,5
