,ADM2_EN,cluster
1,KE027144,19
2,KE035190,19
3,KE029152,19
4,KE041234,24
5,KE044254,19
6,KE032174,24
7,KE007028,23
8,KE009040,23
9,KE030159,23
10,KE030158,21
11,KE030160,19
12,KE035192,19
13,KE045264,19
14,KE045263,19
15,KE045265,23
16,KE036197,23
17,KE036196,23
18,KE045261,21
19,KE041236,21
20,KE046273,21
21,KE040231,23
22,KE039219,23
23,KE004020,21
24,KE035191,18
25,KE037207,21
26,KE040229,11
27,KE012057,21
28,KE012058,22
29,KE001001,11
30,KE036195,21
31,KE026140,21
32,KE029154,23
33,KE007030,21
34,KE047276,21
35,KE007027,21
36,KE030162,11
37,KE008037,11
38,KE047284,21
39,KE047285,22
40,KE047283,21
41,KE047282,22
42,KE047286,22
43,KE029155,22
44,KE038215,22
45,KE033178,11
46,KE026137,17
47,KE007031,11
48,KE040230,17
49,KE014065,11
50,KE004019,11
51,KE003015,18
52,KE004018,18
53,KE021110,11
54,KE022112,15
55,KE022111,15
56,KE041235,2
57,KE020101,2
58,KE032169,2
59,KE022116,2
60,KE038213,15
61,KE043249,2
62,KE012052,15
63,KE012053,2
64,KE012051,15
65,KE007032,15
66,KE037210,15
67,KE011049,18
68,KE011050,15
69,KE001002,18
70,KE022113,15
71,KE022119,15
72,KE043246,15
73,KE039218,18
74,KE024131,21
75,KE017085,15
76,KE034184,15
77,KE034186,15
78,KE034183,15
79,KE034187,15
80,KE034185,20
81,KE003013,15
82,KE047288,15
83,KE021109,15
84,KE039220,15
85,KE021104,15
86,KE016077,15
87,KE024129,18
88,KE027145,18
89,KE043247,1
90,KE047280,6
91,KE043245,1
92,KE016079,6
93,KE028149,1
94,KE028150,2
95,KE027146,2
96,KE037208,2
97,KE022118,2
98,KE022117,10
99,KE047278,3
100,KE017088,14
101,KE017087,2
102,KE019095,15
103,KE021107,2
104,KE021106,2
105,KE022120,2
106,KE033177,15
107,KE003011,10
108,KE003012,15
109,KE047275,10
110,KE017084,10
111,KE039223,10
112,KE026139,10
113,KE002010,10
114,KE018089,15
115,KE018090,20
116,KE035188,10
117,KE035189,4
118,KE020103,4
119,KE001003,4
120,KE042240,4
121,KE042238,10
122,KE042239,2
123,KE015072,17
124,KE015073,11
125,KE015071,16
126,KE015074,17
127,KE015070,16
128,KE045268,17
129,KE045269,18
130,KE046270,22
131,KE036198,18
132,KE032171,1
133,KE032170,18
134,KE044260,11
135,KE044259,21
136,KE026136,3
137,KE009044,2
138,KE007029,3
139,KE031164,3
140,KE031165,3
141,KE031163,3
142,KE010048,3
143,KE005021,3
144,KE005022,3
145,KE047277,3
146,KE022122,3
147,KE001005,1
148,KE037200,1
149,KE022121,2
150,KE023126,1
151,KE038214,2
152,KE037199,3
153,KE002008,2
154,KE037202,3
155,KE013061,3
156,KE016081,3
157,KE003017,22
158,KE047287,18
159,KE017086,2
160,KE037201,18
161,KE003016,18
162,KE009043,2
163,KE009041,18
164,KE009042,18
165,KE009039,18
166,KE014063,1
167,KE021108,1
168,KE028147,1
169,KE028148,1
170,KE016075,6
171,KE040228,6
172,KE047290,2
173,KE021105,3
174,KE019096,1
175,KE002009,7
176,KE037206,7
177,KE016078,3
178,KE016080,3
179,KE017083,1
180,KE030161,1
181,KE027143,1
182,KE032166,11
183,KE029156,10
184,KE010045,21
185,KE002007,21
186,KE039216,11
187,KE042243,11
188,KE019098,2
189,KE037205,2
190,KE037204,2
191,KE001006,3
192,KE016082,2
193,KE006025,2
194,KE020100,3
195,KE015069,3
196,KE015067,3
197,KE015068,3
198,KE032168,2
199,KE032176,3
200,KE032175,3
201,KE040227,5
202,KE029153,9
203,KE033180,9
204,KE033179,9
205,KE033181,9
206,KE033182,9
207,KE037203,5
208,KE018093,5
209,KE043250,2
210,KE020102,9
211,KE013060,5
212,KE032167,5
213,KE010046,5
214,KE012056,5
215,KE046272,5
216,KE042244,6
217,KE001004,9
218,KE042242,9
219,KE045267,9
220,KE045266,9
221,KE044258,9
222,KE019099,9
223,KE018092,9
224,KE018091,3
225,KE019097,9
226,KE024132,4
227,KE003014,9
228,KE043248,9
229,KE041237,9
230,KE032173,9
231,KE044253,12
232,KE047279,9
233,KE047281,9
234,KE022115,14
235,KE014064,9
236,KE038212,13
237,KE026138,13
238,KE010047,8
239,KE025135,8
240,KE025134,12
241,KE025133,13
242,KE042241,13
243,KE037209,2
244,KE014066,14
245,KE024130,5
246,KE035193,5
247,KE039217,13
248,KE036194,9
249,KE012059,7
250,KE045262,3
251,KE027141,13
252,KE047289,13
253,KE043251,5
254,KE043252,5
255,KE032172,3
256,KE044255,15
257,KE044256,15
258,KE008035,13
259,KE006023,5
260,KE040225,5
261,KE040226,5
262,KE019094,5
263,KE013062,5
264,KE022114,5
265,KE030157,5
266,KE012055,5
267,KE012054,5
268,KE029151,5
269,KE039224,5
270,KE027142,2
271,KE023125,5
272,KE023128,5
273,KE023123,2
274,KE023127,4
275,KE023124,24
276,KE041232,4
277,KE041233,10
278,KE044257,24
279,KE038211,4
280,KE006026,20
281,KE008034,25
282,KE008033,24
283,KE008038,25
284,KE008036,24
285,KE039221,20
286,KE039222,24
287,KE046271,24
288,KE047274,24
289,KE006024,24
290,KE016076,25
